interaction_id,timestamp,channel,category_id,agent_id,contact_center_id,interaction_start,agent_resolution_timestamp,interaction_end,call_duration_minutes,satisfaction_rating,action
INT3001,2025-03-01T10:00:00Z,phone,SCHD,AGT008,CC002,2025-03-01T10:00:00Z,2025-03-01T10:10:00Z,2025-03-01T10:10:00Z,10,,add
INT3008,2025-03-01T01:30:00Z,phone,GENQ,AGT003,CC002,2025-03-01T01:30:00Z,2025-03-01T01:38:00Z,2025-03-01T01:38:00Z,8,,add
INT3002,2025-03-05T11:30:00Z,phone,GENQ,AGT009,CC003,2025-03-05T11:30:00Z,2025-03-05T11:41:00Z,2025-03-05T11:41:00Z,11,,add
INT3003,2025-03-08T13:45:00Z,phone,DOCS,AGT010,CC001,2025-03-08T13:45:00Z,2025-03-08T13:50:00Z,2025-03-08T13:50:00Z,5,,add
INT3004,2025-03-12T15:15:00Z,phone,TECH,AGT002,CC001,2025-03-12T15:15:00Z,2025-03-12T15:29:00Z,2025-03-12T15:34:00Z,19,5,add
INT1001,2025-03-15T09:30:00Z,phone,TECH,AGT001,CC001,2025-01-05T14:30:00Z,2025-01-05T14:44:00Z,2025-01-05T14:49:00Z,19,5,update
INT3005,2025-03-18T16:10:00Z,web,ELIG,AGT006,CC003,2025-03-18T16:10:00Z,2025-03-18T16:19:00Z,2025-03-18T16:19:00Z,0,,add
INT3006,2025-03-20T09:00:00Z,phone,ELIG,AGT001,CC001,2025-03-20T09:00:00Z,2025-03-20T09:16:00Z,2025-03-20T09:21:00Z,21,4,add
INT3007,2025-03-25T14:20:00Z,phone,PROV,AGT007,CC001,2025-03-25T14:20:00Z,2025-03-25T14:34:00Z,2025-03-25T14:34:00Z,14,,add
INT3009,2025-03-28T11:05:00Z,web,CLMS,AGT003,CC002,2025-03-28T11:05:00Z,2025-03-28T11:12:00Z,2025-03-28T11:12:00Z,0,,add
INT3010,2025-03-29T15:40:00Z,web,TECH,AGT005,CC003,2025-03-29T15:40:00Z,2025-03-29T15:55:00Z,2025-03-29T15:55:00Z,0,5,add 
