interaction_id,timestamp,channel,category_id,agent_id,contact_center_id,interaction_start,agent_resolution_timestamp,interaction_end,call_duration_minutes,satisfaction_rating
INT1002,2025-01-06 10:00:00-05:00,web,BILL,AGT002,CC001,2025-01-06 10:00:00-05:00,2025-01-06 10:08:00-05:00,2025-01-06 10:08:00-05:00,0.0,Unknown
INT1004,2025-01-07 05:30:00-05:00,phone,BENE,AGT004,CC002,2025-01-07 05:30:00-05:00,2025-01-07 05:40:00-05:00,2025-01-07 05:40:00-05:00,10.0,Unknown
INT1005,2025-01-08 06:45:00-05:00,phone,TECH,AGT005,CC003,2025-01-08 06:45:00-05:00,2025-01-08 06:58:00-05:00,2025-01-08 06:58:00-05:00,13.0,Unknown
INT1006,2025-01-10 11:00:00-05:00,phone,GENQ,AGT002,CC001,2025-01-10 11:00:00-05:00,2025-01-10 11:02:00-05:00,2025-01-10 11:02:00-05:00,2.0,Unknown
INT1007,2025-01-12 08:20:00-05:00,web,Unknown,AGT003,CC002,2025-01-12 08:20:00-05:00,2025-01-12 08:27:00-05:00,2025-01-12 08:27:00-05:00,0.0,Unknown
INT1008,2025-01-15 04:55:00-05:00,phone,CLMS,AGT001,CC001,2025-01-15 04:55:00-05:00,2025-01-15 05:09:00-05:00,2025-01-15 05:14:00-05:00,19.0,5
INT1009,2025-01-18 09:00:00-05:00,phone,BENE,AGT004,CC002,2025-01-18 09:00:00-05:00,2025-01-18 09:12:00-05:00,2025-01-18 09:12:00-05:00,12.0,Unknown
INT1003,2025-02-01 04:00:00-05:00,phone,CLMS,AGT003,CC002,2025-01-07 04:15:00-05:00,2025-01-07 04:29:00-05:00,2025-01-07 04:29:00-05:00,14.0,Unknown
INT2001,2025-02-05 08:00:00-05:00,phone,ELIG,AGT006,CC003,2025-02-05 08:00:00-05:00,2025-02-05 08:15:00-05:00,2025-02-05 08:15:00-05:00,15.0,Unknown
INT2002,2025-02-10 09:15:00-05:00,phone,PROV,AGT007,CC001,2025-02-10 09:15:00-05:00,2025-02-10 09:23:00-05:00,2025-02-10 09:23:00-05:00,8.0,Unknown
INT2003,2025-02-11 10:30:00-05:00,web,DOCS,AGT007,CC001,2025-02-11 10:30:00-05:00,2025-02-11 10:39:00-05:00,2025-02-11 10:39:00-05:00,0.0,Unknown
INT2004,2025-02-18 05:45:00-05:00,phone,TECH,AGT005,CC003,2025-02-18 05:45:00-05:00,2025-02-18 05:55:00-05:00,2025-02-18 05:55:00-05:00,10.0,Unknown
INT2005,2025-02-20 06:00:00-05:00,phone,TECH,AGT001,CC001,2025-02-20 06:00:00-05:00,2025-02-20 06:12:00-05:00,2025-02-20 06:17:00-05:00,17.0,5.0
INT2006,2025-02-22 09:50:00-05:00,phone,SCHD,AGT001,CC001,2025-02-22 09:50:00-05:00,2025-02-22 09:59:00-05:00,2025-02-22 10:04:00-05:00,14.0,2.0
INT2007,2025-02-24 05:00:00-05:00,web,CLMS,AGT003,CC002,2025-02-24 05:00:00-05:00,2025-02-24 05:12:00-05:00,2025-02-24 05:12:00-05:00,0.0,Unknown
INT2008,2025-02-25 06:30:00-05:00,phone,GENQ,AGT002,CC001,2025-02-25 06:30:00-05:00,2025-02-25 06:32:00-05:00,2025-02-25 06:32:00-05:00,2.0,Unknown
INT2009,2025-02-26 11:20:00-05:00,phone,TECH,AGT005,CC003,2025-02-26 11:20:00-05:00,2025-02-26 11:33:00-05:00,2025-02-26 11:33:00-05:00,13.0,Unknown
INT1001,2025-03-15 05:30:00-04:00,phone,TECH,AGT001,CC001,2025-01-05 09:30:00-05:00,2025-01-05 09:44:00-05:00,2025-01-05 09:49:00-05:00,19.0,5.0
INT3001,2025-03-01 05:00:00-05:00,phone,SCHD,AGT008,CC002,2025-03-01 05:00:00-05:00,2025-03-01 05:10:00-05:00,2025-03-01 05:10:00-05:00,10.0,Unknown
INT3008,2025-02-28 20:30:00-05:00,phone,GENQ,AGT003,CC002,2025-02-28 20:30:00-05:00,2025-02-28 20:38:00-05:00,2025-02-28 20:38:00-05:00,8.0,Unknown
INT3002,2025-03-05 06:30:00-05:00,phone,GENQ,AGT009,CC003,2025-03-05 06:30:00-05:00,2025-03-05 06:41:00-05:00,2025-03-05 06:41:00-05:00,11.0,Unknown
INT3003,2025-03-08 08:45:00-05:00,phone,DOCS,AGT010,CC001,2025-03-08 08:45:00-05:00,2025-03-08 08:50:00-05:00,2025-03-08 08:50:00-05:00,5.0,Unknown
INT3004,2025-03-12 11:15:00-04:00,phone,TECH,AGT002,CC001,2025-03-12 11:15:00-04:00,2025-03-12 11:29:00-04:00,2025-03-12 11:34:00-04:00,19.0,5.0
INT3005,2025-03-18 12:10:00-04:00,web,ELIG,AGT006,CC003,2025-03-18 12:10:00-04:00,2025-03-18 12:19:00-04:00,2025-03-18 12:19:00-04:00,0.0,Unknown
INT3006,2025-03-20 05:00:00-04:00,phone,ELIG,AGT001,CC001,2025-03-20 05:00:00-04:00,2025-03-20 05:16:00-04:00,2025-03-20 05:21:00-04:00,21.0,4.0
INT3007,2025-03-25 10:20:00-04:00,phone,PROV,AGT007,CC001,2025-03-25 10:20:00-04:00,2025-03-25 10:34:00-04:00,2025-03-25 10:34:00-04:00,14.0,Unknown
INT3009,2025-03-28 07:05:00-04:00,web,CLMS,AGT003,CC002,2025-03-28 07:05:00-04:00,2025-03-28 07:12:00-04:00,2025-03-28 07:12:00-04:00,0.0,Unknown
INT3010,2025-03-29 11:40:00-04:00,web,TECH,AGT005,CC003,2025-03-29 11:40:00-04:00,2025-03-29 11:55:00-04:00,2025-03-29 11:55:00-04:00,0.0,5.0
